CID	command	name	comment
C00197	Remove	D-Glycerate 3-phosphate	Incorrect value
C00199	Add	D-Ribulose-5-phosphate	Fixing of an incorrect value
C00199	Add	Ribulose-5-phosphate	Adding a default name to the common D version
C00199	Remove	D-Ribulose 5-phosphate	Incorrect value
C00204	Add	2-Dehydro-3-deoxy-gluconate	Addin a default name to the common D version
C00204	Add	2-Keto-3-deoxy-gluconate	Addin a default name to the common D version
C00204	Add	2-oxo-3-deoxy-gluconate	Addin a default name to the common D version
C00206	Add	2'-Deoxyadenosine-5'-diphosphate	Fixing of an incorrect value
C00206	Remove	2'-Deoxyadenosine 5'-diphosphate	Incorrect value
C00216	Add	Arabinose	Adding a default name to the common D version
C00221	Replace	C00031	Replacement of an alpha/beta value with the common value
C00224	Add	Adenosine-5'-phosphosulfate	Fixing of an incorrect value
C00224	Remove	Adenosine 5'-phosphosulfate	Incorrect value
C00227  Remove  acetyl phosphate-2- Incorrect value
C00231	Add	D-Xylulose-5-phosphate	Fixing of an incorrect value
C00231	Add	Xylulose-5-phosphate	Adding a default name to the common D version
C00231	Remove	D-Xylulose 5-phosphate	Incorrect value
C00236	Add	bisphosphoglycerate	Adding a default name to the common D version
C00236	Add	BPG	Adding a default name to the common D version
C00236	Add	D-Glycerate-1,3-bisphosphate	Adding a default name to the common D version
C00236	Add	Glycerate-1,3-bisphosphate	Adding a default name to the common D version
C00236	Add	Glycerate-bisphosphate	Adding a default name to the common D version
C00236	Add	 D-Glycerate-bisphosphate	Adding a default name to the common D version
C00257	Add	gluco-Hexonic acid	Adding a default name to the common D version
C00257	Add	Gluconate	Adding a default name to the common D version
C00257	Add	Gluconic acid	Adding a default name to the common D version
C00259	Remove	L-Arabinose	deduplication
C00267	Replace	C00031	Replacement of an alpha/beta value with the common value
C00273	Add	5-Dehydro-fructose	Addin a default name to the common D version
C00273	Add	5-Dehydrofructose	Addin a default name to the common D version
C00275	Add	D-Mannose-6-phosphate	Fixing of an incorrect value
C00275	Add	Mannose-6-phosphate	Adding a default name to the common D version
C00275	Remove	D-Mannose 6-phosphate	Incorrect value
C00279	Add	Erythrose-4-phosphate	Adding a default name to the common D version
C00302	Remove	Glutamate	deduplication
C00303	Add	DL-Glutamine	adding after deletion
C00303	Remove	Glutamine	deduplication
C00307	Add	Cytidine-5'-diphosphocholine	Fixing of an incorrect value
C00307	Remove	Cytidine 5'-diphosphocholine	Incorrect value
C00309	Add	Ribulose	Adding a default name to the common D version
C00310	Add	Xylulose	Adding a default name to the common D version
C00318	Add	Carnitine	Adding a default name to the common L version
C00328	Add	Kynurenine	Adding a default name to the common L version
C00333	Add	Galacturonate	Addin a default name to the common D version
C00333	Add	Galacturonic acid	Addin a default name to the common D version
C00337	Add	Dihydroorotic acid	Adding a default name to the common L version
C00345	Add	6-Phosphogluconate	Adding a default name to the common D version
C00352	Add	D-Glucosamine-6-phosphate	Fixing of an incorrect value
C00352	Add	D-Glucosamine-phosphate	Fixing of an incorrect value
C00352	Add	Glucosamine-6-phosphate	Adding a default name to the common D version
C00352	Add	Glucosamine-phosphate	Adding a default name to the common D version
C00352	Remove	D-Glucosamine 6-phosphate	Incorrect value
C00352	Remove	D-Glucosamine phosphate	Incorrect value
C00354	Add	D-Fructose-1,6-bisphosphate	Fixing of an incorrect value
C00354	Add	D-Fructose-bisphosphate	Adding a default name to the common D version
C00354	Add	Fructose-bisphosphate	Adding a default name to the common D version
C00354	Remove	D-Fructose 1,6-bisphosphate	Incorrect value
C00357	Add	N-Acetyl-D-glucosamine-6-phosphate	Fixing of an incorrect value
C00357	Add	N-Acetylglucosamine 6-phosphate	Adding a default name to the common D version
C00357	Remove	N-Acetyl-D-glucosamine 6-phosphate	Incorrect value
C00400	Add	Menthol	Adding a default name to the common L version
C00407	Add	Isoleucine	Adding a default name to the common L version
C00438	Add	N-Carbamoyl-aspartate	Addin a default name to the common L version
C00438	Add	N-Carbamoylaspartate	Addin a default name to the common L version
C00438	Add	N-Carbamoyl-aspartate	Adding a default name to the common L version
C00439	Add	N-Formimidoyl-glutamate	Adding a default name to the common L version
C00439	Add	N-Formimino-glutamate	Adding a default name to the common L version
C00446	Add	alpha-D-Galactopyranose-1-phosphate	Fixing of an incorrect value
C00446	Add	alpha-D-Galactose-1-phosphate	Fixing of an incorrect value
C00446	Remove	alpha-D-Galactopyranose 1-phosphate	Incorrect value
C00446	Remove	alpha-D-Galactose 1-phosphate	Incorrect value
C00447	Add	D-altro-Heptulose-1,7-biphosphate	Fixing of an incorrect value
C00447	Add	D-Sedoheptulose-1,7-bisphosphate	Fixing of an incorrect value
C00447	Add	D-Sedoheptulose-bisphosphate	Adding a default name to the common D version
C00447	Add	Sedoheptulose-1,7-bisphosphate	Fixing of an incorrect value
C00447	Add	Sedoheptulose-bisphosphate	Adding a default name to the common D version
C00447	Remove	D-altro-Heptulose 1,7-biphosphate	Incorrect value
C00447	Remove	D-Sedoheptulose 1,7-bisphosphate	Incorrect value
C00447	Remove	Sedoheptulose 1,7-bisphosphate	Incorrect value
C00448	Add	(2E,6E)-Farnesyl-diphosphate	Fixing of an incorrect value
C00448	Add	2-trans,6-trans-Farnesyl-diphosphate	Fixing of an incorrect value
C00448	Add	Farnesyl-diphosphate	Addin a default name
C00448	Add	Farnesyl-pyrophosphate	Addin a default name
C00448	Add	trans,trans-Farnesyl-diphosphate	Fixing of an incorrect value
C00448	Remove	(2E,6E)-Farnesyl diphosphate	Incorrect value
C00448	Remove	2-trans,6-trans-Farnesyl diphosphate	Incorrect value
C00448	Remove	trans,trans-Farnesyl diphosphate	Incorrect value
C00455	Add	Nicotinamide-D-ribonucleotide	Fixing of an incorrect value
C00455	Add	Nicotinamide ribonucleotide	Adding a default name to the common D version
C00455	Add	Nicotinamide-ribonucleotide	Adding a default name to the common D version
C00476	Add	Lyxose	Adding a default name to the common D version
C00491	Add	alpha-Diamino-beta-dithiolactic acid	Adding a default name to the common L version
C00491	Add	Cystine	Adding a default name to the common L version
C00491	Add	Dicysteine	Adding a default name to the common L version
C00502	Add	Xylonate	Adding a default name to the common D version
C00506	Add	Cysteate	Addin a default name to the common L version
C00506	Add	Cysteic acid	Addin a default name to the common L version
C00507	Add	6-Deoxy-mannose	Adding a default name to the common L version
C00507	Add	6-Deoxymannose	Adding a default name to the common L version
C00507	Add	Deoxy-mannose	Adding a default name to the common L version
C00507	Add	Deoxymannose	Adding a default name to the common L version
C00507	Add	Mannomethylose	Adding a default name to the common L version
C00507	Add	Rhamnose	Adding a default name to the common L version
C00514	Add	Mannonate	Adding a default name to the common D version
C00558	Add	Tagaturonate	Addin a default name to the common D version
C00558	Add	Tagaturonic acid	Addin a default name to the common D version
C00566	Add	Citryl-CoA	Addin a default name to the common S version
C00583	Add	(RS)-1,2-Propanediol	adding after deletion
C00583	Add	(RS)-Propane-1,2-diol	adding after deletion
C00583	Add	(RS)-Propylene glycol	adding after deletion
C00583	Remove	1,2-Propanediol	deduplication
C00583	Remove	Propane-1,2-diol	deduplication
C00583	Remove	Propylene glycol	deduplication
C00586	Add	arabino-2-Deoxyhexose	Adding a default name to the common D version
C00597	Add	DL-Glycerate-3-phosphat	Fixing of an incorrect value
C00597	Remove	3-Phosphoglycerate	deduplication
C00597	Remove	DL-Glycerate 3-phosphate	Incorrect value
C00603	Add	Ureidoglycolate	Adding a default name to the common S version
C00612	Add	Acetylspermidine	Adding a default name to the common version
C00620	Add	D-Ribose-1-phosphate	Fixing of an incorrect value
C00620	Add	Ribose-1-phosphate	Fixing of an incorrect value
C00620	Remove	alpha-D-Ribose 1-phosphate	Deletion of alpha version
C00620	Remove	D-Ribose 1-phosphate	Incorrect value
C00620	Remove	Ribose 1-phosphate	Incorrect value
C00624	Add	N-Acetyl-glutamate	Adding a default name to the common L version
C00624	Add	N-Acetylglutamate	Adding a default name to the common L version
C00627	Add	Pyridoxine-5-phosphate	Fixing of an incorrect value
C00627	Add	Pyridoxine-5'-phosphate	Fixing of an incorrect value
C00627	Add	Pyridoxine-phosphate	Fixing of an incorrect value
C00627	Add	Pyridoxol-5'-phosphate	Fixing of an incorrect value
C00627	Remove	Pyridoxine 5-phosphate	Incorrect value
C00627	Remove	Pyridoxine 5'-phosphate	Incorrect value
C00627	Remove	Pyridoxine phosphate	Incorrect value
C00627	Remove	Pyridoxol 5'-phosphate	Incorrect value
C00631	Add	D-Glycerate-2-phosphate	Fixing of an incorrect value
C00631	Add	Glycerate-2-phosphate	Addin a default name to the common D version
C00631	Remove	D-Glycerate 2-phosphate	Incorrect value
C00636	Add	D-Mannos-1-phosphate	Fixing of an incorrect value
C00636	Add	Mannos-1-phosphate	Adding a default name to the common D version
C00636	Remove	alpha-D-Mannose 1-phosphate	Deletion of alpha version
C00636	Remove	D-Mannose 1-phosphate	Incorrect value
C00644	Add	D-Mannitol-1-phosphate	Fixing of an incorrect value
C00644	Add	Mannitol-1-phosphate	Adding a default name to the common D version
C00644	Remove	D-Mannitol 1-phosphate	Incorrect value
C00645	Add	N-acetylmannosamine	Adding a default name to the common D version
C00647	Add	Pyridoxamine-5-phosphate	Fixing of an incorrect value
C00647	Add	Pyridoxamine-5'-phosphate	Fixing of an incorrect value
C00647	Add	Pyridoxamine-phosphate	Fixing of an incorrect value
C00647	Remove	Pyridoxamine 5-phosphate	Incorrect value
C00647	Remove	Pyridoxamine 5'-phosphate	Incorrect value
C00647	Remove	Pyridoxamine phosphate	Incorrect value
C00651	Add	4-Methylene-glutamate	Adding a default name to the common L version
C00661	Remove	Glyceraldehyde 3-phosphate	deduplication
C00663	Replace	C00103	Replacement of an alpha/beta value with the common value
C00665	Add	D-Fructose-2,6-bisphosphate	Fixing of an incorrect value
C00665	Add	Fructose-2,6-bisphosphate	Adding a default name to the common D version
C00665	Remove	D-Fructose 2,6-bisphosphate	Incorrect value
C00666	Add	2,6-diaminoheptanedioate	Adding a default name to the common L version
C00666	Add	2,6-Diaminoheptanedioate	Adding a default name to the common L version
C00666	Add	2,6-Diaminopimelate	Adding a default name to the common L version
C00666	Add	2,6-Diaminopimelic acid	Adding a default name to the common L version
C00666	Add	diaminoheptanedioate	Adding a default name to the common L version
C00666	Add	Diaminoheptanedioate	Adding a default name to the common L version
C00666	Add	Diaminopimelate	Adding a default name to the common L version
C00666	Add	Diaminopimelic acid	Adding a default name to the common L version
C00668	Replace	C00092	Replacement of an alpha/beta value with the common value
C00672	Add	2-Deoxy-alpha-D-ribose-1-phosphate	Fixing of an incorrect value
C00672	Add	2-Deoxy-alpha-ribose-1-phosphate	Adding a default name to the common D version
C00672	Add	2-deoxy-d-ribose-1-phosphate	Fixing of an incorrect value
C00672	Add	2-Deoxy-D-ribose-1-phosphate	Fixing of an incorrect value
C00672	Add	2-deoxy-ribose-1-phosphate	Adding a default name to the common D version
C00672	Add	2-Deoxy-ribose-1-phosphate	Adding a default name to the common D version
C00672	Remove	2-Deoxy-alpha-D-ribose 1-phosphate	Incorrect value
C00672	Remove	2-deoxy--d-ribose 1-phosphate	Incorrect value
C00672	Remove	2-Deoxy-D-ribose 1-phosphate	Incorrect value
C00673	Add	2-Deoxy-D-ribose-5-phosphate	Fixing of an incorrect value
C00673	Add	2-Deoxy-ribose-5-phosphate	Adding a default name to the common D version
C00673	Remove	2-Deoxy-D-ribose 5-phosphate	Incorrect value
C00689	Add	alpha,alpha'-Trehalose-6-phosphate	Fixing of an incorrect value
C00689	Add	Trehalose-6-phosphate	Fixing of an incorrect value
C00689	Remove	alpha,alpha'-Trehalose 6-phosphate	Incorrect value
C00689	Remove	Trehalose 6-phosphate	Incorrect value
C00711	Add	DL-2-Hydroxybutanedioic acid	adding after deletion
C00711	Add	DL-Malate	adding after deletion
C00711	Add	DL-Malic acid	adding after deletion
C00711	Remove	2-Hydroxybutanedioic acid	deduplication
C00711	Remove	Malate	deduplication
C00711	Remove	Malic acid	deduplication
C00725	Remove	Lipoate	deduplication
C00725	Remove	Lipoic acid	deduplication
C00736	Add	DL-Cysteine	adding after deletion
C00736	Remove	Cysteine	deduplication
C00737	Add	Aldose	Addin a default name to the common D version
C00738	Delete	Entry	
C00764	Add	Sorbose	Adding a default name to the common D version
C00764	Add	xylo-Hexulose	Adding a default name to the common D version
C00768	Remove	Histidine	deduplication
C00788	Add	Adrenaline	Adding a default name to the common L version
C00794	Add	Glucitol	Adding a default name to the common D version
C00795	Add	Tagatose	Adding a default name to the common D version
C00806	Remove	Tryptophan	Adding a default name to the common L version
C00811	Add	Coumarate	Adding a default name to the common version
C00811	Add	Coumaric acid	Adding a default name to the common version
C00811	Add	Hydroxycinnamate	Adding a default name to the common version
C00811	Add	Hydroxycinnamic acid	Adding a default name to the common version
C00817	Add	Altronate	Adding a default name to the common D version
C00826	Add	Arogenate	Adding a default name to the common L version
C00826	Add	Arogenic acid	Adding a default name to the common L version
C00847	Add	Pyridoxate	Adding a default name to the common version
C00847	Add	Pyridoxic acid	Adding a default name to the common version
C00860	Add	Histidinol	Adding a default name to the commonL version
C00878	Add	Arabinonate	Addin a default name to the common D version
C00878	Add	Arabinonate	Adding a default name to the common D version
C00878	Add	Arabinonic acid	Adding a default name to the common D version
C00880	Add	Galactonate	Adding a default name to the common D version
C00880	Add	Galactonic acid	Adding a default name to the common D version
C00905	Add	Fructuronate	Addin a default name to the common D version
C00905	Add	Fructuronic acid	Addin a default name to the common D version
C00936	Delete	Entry	Deletion of alpha version
C00941	Add	Cyclic CMP	Adding a default name to the common version
C00941	Add	Cytidine-cyclic monophosphate	Adding a default name to the common version
C00946	Add	Adenosine-2'-phosphate	Fixing of an incorrect value
C00946	Remove	Adenosine 2'-phosphate	Incorrect value
C00956	Add	2-Aminoadipate	Adding a default name to the common L version
C00962	Delete	Entry	Deletion of beta version
C00971	Add	Pyridoxic acid lacton	Adding a default name to the common version
C00971	Add	Pyridoxolactone	Adding a default name to the common version
C00976	Add	GDP-mannuronate	Addin a default name to the common D version
C00976	Add	GDP-mannuronic acid	Addin a default name to the common D version
C00977	Add	Tryptophanamide	Adding a default name to the common L version
C00979	Add	O-Acetyl-serine	Adding a default name to the common L version
C00984	Replace	C00124	Replacement of an alpha/beta value with the common value
C00994	Add	Prephenyllactate	Adding a default name to the common D version
C01002	Add	DL-Hexose-1-phosphate	Fixing of an incorrect value
C01002	Delete	Hexose 1-phosphate	Incorrect value
C01005	Add	O-Phospho-serine	Adding a default name to the common L version
C01005	Add	O-Phosphoserine	Adding a default name to the common L version
C01011	Add	Citramalyl-CoA	Addin a default name to the common S version
C01018	Add	Fucose	Adding a default name to the common D version
C01028	Add	Hydroxy-lysine	Adding a default name to the common L version
C01028	Add	Hydroxylysine	Adding a default name to the common L version
C01042	Add	Acetylaspartate	Addin a default name to the common L version
C01045	Add	Formylglutamic acid	Addin a default name to the common L version
C01056	Add	6-Hydroxynicotine	Adding a default name to the common S version
C01060	Add	Diiodotyrosine	Addin a default name to the common L version
C01067	Add	D-Galactose-6-sulfate	Fixing of an incorrect value
C01067	Add	Galactose-6-sulfate	Adding a default name to the common D version
C01067	Remove	D-Galactose 6-sulfate	Incorrect value
C01068	Add	D-Ribitol-5-phosphate	Fixing of an incorrect value
C01068	Add	L-Ribitol-1-phosphate	Fixing of an incorrect value
C01068	Add	Ribitol-5-phosphate	Fixing of an incorrect value
C01068	Remove	D-Ribitol 5-phosphate	Incorrect value
C01068	Remove	L-Ribitol 1-phosphate	Incorrect value
C01068	Remove	Ribitol 5-phosphate	Incorrect value
C01075	Add	N-Sulfoglucosamine	Adding a default name to the common D version
C01088	Add	3,3-Dimethylmalate	Adding a default name to the common R version
C01089	Add	3-Hydroxybutanoate	Addin a default name to the common R version
C01089	Add	3-Hydroxybutanoic acid	Addin a default name to the common R version
C01089	Add	3-Hydroxybutyric acid	Addin a default name to the common R version
C01089	Add	Hydroxybutanoate	Addin a default name to the common R version
C01089	Add	Hydroxybutanoic acid	Addin a default name to the common R version
C01089	Add	Hydroxybutyric acid	Addin a default name to the common R version
C01094	Add	D-Fructose-1-phosphate	Adding a default name to the common D version
C01094	Add	Fructose-1-phosphate	Fixing of an incorrect value
C01094	Remove	D-Fructose 1-phosphate	Incorrect value
C01095	Add	D-Ribose-5-diphosphate	Fixing of an incorrect value
C01095	Add	Ribose-5-diphosphate	Adding a default name to the common D version
C01095	Remove	D-Ribose 5-diphosphate	Incorrect value
C01096	Add	D-Glucitol-6-phosphate	Fixing of an incorrect value
C01096	Add	Glucitol-6-phosphate	Adding a default name to the common D version
C01096	Add	Sorbitol-6-phosphate	Fixing of an incorrect value
C01096	Remove	D-Glucitol 6-phosphate	Incorrect value
C01096	Remove	Sorbitol 6-phosphate	Incorrect value
C01097	Add	D-Tagatose-6-phosphate	Fixing of an incorrect value
C01097	Add	Tagatose-6-phosphate	Adding a default name to the common D version
C01097	Remove	D-Tagatose 6-phosphate	Incorrect value
C01099	Add	L-Fuculose-1-phosphate	Fixing of an incorrect value
C01099	Remove	L-Fuculose 1-phosphate	Incorrect value
C01100	Add	Histidinol-phosphate	Adding a default name to the common L version
C01101	Add	L-Ribulose-5-phosphate	Fixing of an incorrect value
C01101	Remove	L-Ribulose 5-phosphate	Incorrect value
C01102	Add	O-Phosphorylhomoserine	Adding a default name to the common L version
C01103	Add	Orotidine-5'-phosphate	Fixing of an incorrect value
C01103	Remove	Orotidine 5'-phosphate	Incorrect value
C01107	Add	5-Phosphomevalonate	Addin a default name to the common R version
C01107	Add	5-Phosphomevaloonic acid	Addin a default name to the common R version
C01107	Add	Mevalonic acid 5-phosphate	Addin a default name to the common R version
C01109	Add	4-Methylene-glutamine	Adding a default name to the common L version
C01112	Add	Arabinose-5-phosphate	Adding a default name to the common D version
C01112	Add	D-Arabinose-5-phosphate	Fixing of an incorrect value
C01112	Remove	D-Arabinose 5-phosphate	Incorrect value
C01113	Add	6-Phospho-galactose	Adding a default name to the common D version
C01113	Add	D-Galactose-6-phosphate	Fixing of an incorrect value
C01113	Add	Galactose-6-phosphate	Adding a default name to the common D version
C01113	Remove	D-Galactose 6-phosphate	Incorrect value
C01121	Add	Streptidine-6-phosphate	Fixing of an incorrect value
C01121	Remove	Streptidine 6-phosphate	Incorrect value
C01127	Add	DL-4-Hydroxy-2-oxoglutarate	adding after deletion
C01127	Remove	4-Hydroxy-2-oxoglutarate	deduplication
C01131	Add	L-Rhamnulose-1-phosphate	Fixing of an incorrect value
C01131	Remove	L-Rhamnulose 1-phosphate	Incorrect value
C01132	Add	Acetylgalactosamine	Adding a default name to the common D version
C01133	Add	Acetyl-glucosaminate	Adding a default name to the common D version
C01133	Add	Acetylglucosaminate	Adding a default name to the common D version
C01133	Add	N-Acetyl-glucosaminate	Adding a default name to the common D version
C01133	Add	N-Acetylglucosaminate	Adding a default name to the common D version
C01134	Add	D-Pantetheine-4'-phosphate	Fixing of an incorrect value
C01134	Add	Pantetheine-4'-phosphate	Fixing of an incorrect value
C01134	Remove	D-Pantetheine 4'-phosphate	Incorrect value
C01134	Remove	Pantetheine 4'-phosphate	Incorrect value
C01138	Add	Streptomycin-6-phosphate	Fixing of an incorrect value
C01138	Remove	Streptomycin 6-phosphate	Incorrect value
C01142	Add	beta-Lysine	Adding a default name to the common L version
C01143	Add	5-Diphosphomevalonate	Adding a default name to the common R version
C01143	Add	5-diphosphomevalonic acid	Adding a default name to the common R version
C01151	Add	D-Ribose-1,5-bisphosphate	Fixing of an incorrect value
C01151	Add	Ribose-1,5-bisphosphate	Fixing of an incorrect value
C01151	Remove	D-Ribose 1,5-bisphosphate	Incorrect value
C01151	Remove	Ribose 1,5-bisphosphate	Incorrect value
C01159	Add	2,3-Bisphosphoglycerate	Adding a default name to the common D version
C01161	Add	Dihydroxyphenylacetate	Adding a default name to the common version
C01161	Add	Dihydroxyphenylacetic acid	Adding a default name to the common version
C01165	Add	Glutamate 5-semialdehyde	Adding a default name to the common L version
C01165	Add	Glutamate gamma-semialdehyde	Adding a default name to the common L version
C01172	Replace	C00092	Replacement of an alpha/beta value with the common value
C01177	Add	1D-myo-Inositol-1-monophosphate	Fixing of an incorrect value
C01177	Add	1D-myo-Inositol-1-phosphate	Fixing of an incorrect value
C01177	Add	D-myo-Inositol-1-phosphate	Fixing of an incorrect value
C01177	Add	Inositol-1-phosphate	Fixing of an incorrect value
C01177	Add	myo-Inositol-1-phosphate	Fixing of an incorrect value
C01177	Remove	1D-myo-Inositol 1-monophosphate	Incorrect value
C01177	Remove	1D-myo-Inositol 1-phosphate	Incorrect value
C01177	Remove	D-myo-Inositol 1-phosphate	Incorrect value
C01177	Remove	Inositol 1-phosphate	Incorrect value
C01177	Remove	myo-Inositol 1-phosphate	Incorrect value
C01182	Add	D-Ribulose-1,5-bisphosphate	Fixing of an incorrect value
C01182	Add	D-Ribulose-bisphosphate	Adding a default name to the common D version
C01182	Add	Ribulose-1,5-bisphosphate	Adding a default name to the common D version
C01182	Add	Ribulose-bisphosphate	Adding a default name to the common D version
C01182	Remove	D-ribulose 1,5-biphosphate	Deletion of an incorrect value
C01182	Remove	D-Ribulose 1,5-bisphosphate	Incorrect value
C01187	Add	2-keto-3-deoxyoctonate	Adding a default name to the common D version
C01204	Add	1D-myo-Inositol-1,2,3,4,5,6-hexakisphosphate	Fixing of an incorrect value
C01204	Add	1D-myo-Inositol-hexakisphosphate	Fixing of an incorrect value
C01204	Add	D-myo-Inositol-1,2,3,4,5,6-hexakisphosphate	Fixing of an incorrect value
C01204	Add	Inositol-1,2,3,4,5,6-hexakisphosphate	Fixing of an incorrect value
C01204	Add	myo-Inositol-1,2,3,4,5,6-hexakisphosphate	Fixing of an incorrect value
C01204	Add	myo-Inositol-hexakisphosphate	Fixing of an incorrect value
C01204	Remove	1D-myo-Inositol 1,2,3,4,5,6-hexakisphosphate	Incorrect value
C01204	Remove	1D-myo-Inositol hexakisphosphate	Incorrect value
C01204	Remove	D-myo-Inositol 1,2,3,4,5,6-hexakisphosphate	Incorrect value
C01204	Remove	Inositol 1,2,3,4,5,6-hexakisphosphate	Incorrect value
C01204	Remove	myo-Inositol 1,2,3,4,5,6-hexakisphosphate	Incorrect value
C01204	Remove	myo-Inositol hexakisphosphate	Incorrect value
C01213	Add	2-Methylmalonyl-CoA	Adding a default name to the common R version
C01213	Add	Methylmalonyl-CoA	Adding a default name to the common R version
C01213	Add	Methylmalonyl coenzyme A	Adding a default name to the common R version
C01216	Add	2-Dehydro-3-deoxy-galactonate	Addin a default name to the common D version
C01218	Add	2-Dehydro-D-gluconate-6-phosphate	Fixing of an incorrect value
C01218	Add	2-Dehydrogluconate-6-phosphate	Adding a default name to the common D version
C01218	Add	6-Phospho-2-dehydrogluconate	Adding a default name to the common D version
C01218	Remove	2-Dehydro-D-gluconate 6-phosphate	Incorrect value
C01220	Add	Inositol-1,4-bisphosphate	Fixing of an incorrect value
C01220	Add	myo-Inositol-1,4-bisphosphate	Fixing of an incorrect value
C01220	Remove	Inositol 1,4-bisphosphate	Incorrect value
